squadra_casa,squadra_ospite,data_partita,valore_titolari_casa,valore_titolari_ospite
Atalanta Bergamasca Calcio S.p.a.,Unione Sportiva Lecce,2025-09-14,229000000,31600000
Unione Sportiva Sassuolo Calcio,Società Sportiva Lazio S.p.A.,2025-09-14,85000000,187500000
Pisa Sporting Club,Udinese Calcio,2025-09-14,41600000,61300000
Cagliari Calcio,Parma Calcio 1913,2025-09-13,53500000,87500000
Associazione Calcio Fiorentina,Società Sportiva Calcio Napoli,2025-09-13,170600000,276500000
Juventus Football Club,Football Club Internazionale Milano S.p.A.,2025-09-13,348000000,455000000
Società Sportiva Lazio S.p.A.,Verona Hellas Football Club,2025-08-31,184000000,37950000
Football Club Internazionale Milano S.p.A.,Udinese Calcio,2025-08-31,496000000,63300000
Torino Calcio,Associazione Calcio Fiorentina,2025-08-31,88800000,181000000
Genoa Cricket and Football Club,Juventus Football Club,2025-08-31,85400000,339000000
Pisa Sporting Club,Associazione Sportiva Roma,2025-08-30,42600000,222500000
Società Sportiva Calcio Napoli,Cagliari Calcio,2025-08-30,201000000,52600000
Bologna Football Club 1909,Calcio Como,2025-08-30,111200000,117500000
Parma Calcio 1913,Atalanta Bergamasca Calcio S.p.a.,2025-08-30,86500000,216000000
Unione Sportiva Lecce,Associazione Calcio Milan,2025-08-29,35600000,218000000
Unione Sportiva Cremonese S.p.A.,Unione Sportiva Sassuolo Calcio,2025-08-29,36650000,83500000
Udinese Calcio,Verona Hellas Football Club,2025-08-25,66300000,38650000
Football Club Internazionale Milano S.p.A.,Torino Calcio,2025-08-25,460000000,66500000
Atalanta Bergamasca Calcio S.p.a.,Pisa Sporting Club,2025-08-24,216000000,42800000
Cagliari Calcio,Associazione Calcio Fiorentina,2025-08-24,51300000,180000000
Calcio Como,Società Sportiva Lazio S.p.A.,2025-08-24,117500000,157500000
Juventus Football Club,Parma Calcio 1913,2025-08-24,364000000,86500000
Associazione Calcio Milan,Unione Sportiva Cremonese S.p.A.,2025-08-23,248000000,28100000
Unione Sportiva Sassuolo Calcio,Società Sportiva Calcio Napoli,2025-08-23,81800000,217500000
Genoa Cricket and Football Club,Unione Sportiva Lecce,2025-08-23,85000000,35600000
Associazione Sportiva Roma,Bologna Football Club 1909,2025-08-23,222500000,94500000
Venezia FC,Juventus Football Club,2025-05-25,27100000,307000000
Torino Calcio,Associazione Sportiva Roma,2025-05-25,106300000,170000000
Udinese Calcio,Associazione Calcio Fiorentina,2025-05-25,86000000,170500000
FC Empoli,Verona Hellas Football Club,2025-05-25,49900000,49700000
Atalanta Bergamasca Calcio S.p.a.,Parma Calcio 1913,2025-05-25,210000000,77000000
Società Sportiva Lazio S.p.A.,Unione Sportiva Lecce,2025-05-25,214000000,45500000
Associazione Calcio Milan,AC Monza,2025-05-24,243700000,26800000
Bologna Football Club 1909,Genoa Cricket and Football Club,2025-05-24,156000000,52150000
Calcio Como,Football Club Internazionale Milano S.p.A.,2025-05-23,94100000,195000000
Società Sportiva Calcio Napoli,Cagliari Calcio,2025-05-23,195500000,35400000
Associazione Calcio Fiorentina,Bologna Football Club 1909,2025-05-18,157500000,156500000
AC Monza,FC Empoli,2025-05-18,28800000,46900000
Associazione Sportiva Roma,Associazione Calcio Milan,2025-05-18,170000000,287000000
Juventus Football Club,Udinese Calcio,2025-05-18,295000000,60000000
Cagliari Calcio,Venezia FC,2025-05-18,46900000,43600000
Football Club Internazionale Milano S.p.A.,Società Sportiva Lazio S.p.A.,2025-05-18,404000000,196500000
Unione Sportiva Lecce,Torino Calcio,2025-05-18,40700000,97300000
Verona Hellas Football Club,Calcio Como,2025-05-18,53000000,93300000
Parma Calcio 1913,Società Sportiva Calcio Napoli,2025-05-18,81500000,195500000
Genoa Cricket and Football Club,Atalanta Bergamasca Calcio S.p.a.,2025-05-17,77800000,175000000
Venezia FC,Associazione Calcio Fiorentina,2025-05-12,43600000,120500000
Atalanta Bergamasca Calcio S.p.a.,Associazione Sportiva Roma,2025-05-12,299000000,190000000
Torino Calcio,Football Club Internazionale Milano S.p.A.,2025-05-11,96300000,202000000
Udinese Calcio,AC Monza,2025-05-11,68800000,28100000
Società Sportiva Calcio Napoli,Genoa Cricket and Football Club,2025-05-11,204500000,74150000
Verona Hellas Football Club,Unione Sportiva Lecce,2025-05-11,52000000,40700000
Società Sportiva Lazio S.p.A.,Juventus Football Club,2025-05-10,184500000,253000000
FC Empoli,Parma Calcio 1913,2025-05-10,46900000,78000000
Calcio Como,Cagliari Calcio,2025-05-10,92600000,43500000
Associazione Calcio Milan,Bologna Football Club 1909,2025-05-09,270500000,102900000
Genoa Cricket and Football Club,Associazione Calcio Milan,2025-05-05,87500000,275500000
Bologna Football Club 1909,Juventus Football Club,2025-05-04,138400000,283000000
Associazione Sportiva Roma,Associazione Calcio Fiorentina,2025-05-04,192000000,136500000
AC Monza,Atalanta Bergamasca Calcio S.p.a.,2025-05-04,32900000,316000000
FC Empoli,Società Sportiva Lazio S.p.A.,2025-05-04,50000000,149500000
Cagliari Calcio,Udinese Calcio,2025-05-03,46500000,70800000
Football Club Internazionale Milano S.p.A.,Verona Hellas Football Club,2025-05-03,152500000,46500000
Parma Calcio 1913,Calcio Como,2025-05-03,78000000,93300000
Unione Sportiva Lecce,Società Sportiva Calcio Napoli,2025-05-03,45500000,204500000
Torino Calcio,Venezia FC,2025-05-02,99000000,36000000
Verona Hellas Football Club,Cagliari Calcio,2025-04-28,51500000,39200000
Società Sportiva Lazio S.p.A.,Parma Calcio 1913,2025-04-28,191500000,78000000
Udinese Calcio,Bologna Football Club 1909,2025-04-28,58500000,139500000
Atalanta Bergamasca Calcio S.p.a.,Unione Sportiva Lecce,2025-04-27,291000000,33000000
Calcio Como,Genoa Cricket and Football Club,2025-04-27,93000000,77500000
Società Sportiva Calcio Napoli,Torino Calcio,2025-04-27,229500000,85000000
Venezia FC,Associazione Calcio Milan,2025-04-27,37400000,347000000
Football Club Internazionale Milano S.p.A.,Associazione Sportiva Roma,2025-04-27,368500000,192000000
Juventus Football Club,AC Monza,2025-04-27,315000000,38000000
Associazione Calcio Fiorentina,FC Empoli,2025-04-27,115500000,54000000
Torino Calcio,Udinese Calcio,2025-04-23,104500000,76000000
Parma Calcio 1913,Juventus Football Club,2025-04-23,87000000,315000000
Cagliari Calcio,Associazione Calcio Fiorentina,2025-04-23,49300000,133500000
Genoa Cricket and Football Club,Società Sportiva Lazio S.p.A.,2025-04-23,96000000,175500000
Associazione Calcio Milan,Atalanta Bergamasca Calcio S.p.a.,2025-04-20,334500000,267000000
FC Empoli,Venezia FC,2025-04-20,52400000,36400000
Bologna Football Club 1909,Football Club Internazionale Milano S.p.A.,2025-04-20,143500000,360000000
Associazione Sportiva Roma,Verona Hellas Football Club,2025-04-19,179000000,46500000
Unione Sportiva Lecce,Calcio Como,2025-04-19,43000000,107000000
AC Monza,Società Sportiva Calcio Napoli,2025-04-19,38000000,180500000
Società Sportiva Calcio Napoli,FC Empoli,2025-04-14,189500000,48900000
Atalanta Bergamasca Calcio S.p.a.,Bologna Football Club 1909,2025-04-13,276000000,141900000
Associazione Calcio Fiorentina,Parma Calcio 1913,2025-04-13,152500000,87000000
Calcio Como,Torino Calcio,2025-04-13,84300000,90500000
Verona Hellas Football Club,Genoa Cricket and Football Club,2025-04-13,46500000,89800000
Società Sportiva Lazio S.p.A.,Associazione Sportiva Roma,2025-04-13,160500000,203000000
Football Club Internazionale Milano S.p.A.,Cagliari Calcio,2025-04-12,378500000,38600000
Juventus Football Club,Unione Sportiva Lecce,2025-04-12,330000000,41200000
Venezia FC,AC Monza,2025-04-12,42900000,39700000
Udinese Calcio,Associazione Calcio Milan,2025-04-11,95500000,334500000
Bologna Football Club 1909,Società Sportiva Calcio Napoli,2025-04-07,150000000,202500000
Atalanta Bergamasca Calcio S.p.a.,Società Sportiva Lazio S.p.A.,2025-04-06,264000000,157000000
FC Empoli,Cagliari Calcio,2025-04-06,46900000,46000000
Unione Sportiva Lecce,Venezia FC,2025-04-06,44500000,36100000
Torino Calcio,Verona Hellas Football Club,2025-04-06,122000000,46500000
Associazione Sportiva Roma,Juventus Football Club,2025-04-06,181500000,307000000
AC Monza,Calcio Como,2025-04-05,33600000,113000000
Associazione Calcio Milan,Associazione Calcio Fiorentina,2025-04-05,353000000,152500000
Parma Calcio 1913,Football Club Internazionale Milano S.p.A.,2025-04-05,79500000,405000000
Genoa Cricket and Football Club,Udinese Calcio,2025-04-04,91500000,86000000
Verona Hellas Football Club,Parma Calcio 1913,2025-03-31,46500000,92500000
Società Sportiva Lazio S.p.A.,Torino Calcio,2025-03-31,145000000,121500000
Cagliari Calcio,AC Monza,2025-03-30,43500000,34100000
Società Sportiva Calcio Napoli,Associazione Calcio Milan,2025-03-30,232000000,283000000
Football Club Internazionale Milano S.p.A.,Udinese Calcio,2025-03-30,272500000,95500000
Associazione Calcio Fiorentina,Atalanta Bergamasca Calcio S.p.a.,2025-03-30,152500000,264000000
Calcio Como,FC Empoli,2025-03-29,74300000,46900000
Venezia FC,Bologna Football Club 1909,2025-03-29,37100000,134500000
Unione Sportiva Lecce,Associazione Sportiva Roma,2025-03-29,47000000,202500000
Juventus Football Club,Genoa Cricket and Football Club,2025-03-29,329000000,103500000
Bologna Football Club 1909,Società Sportiva Lazio S.p.A.,2025-03-16,162500000,171500000
Associazione Calcio Fiorentina,Juventus Football Club,2025-03-16,150500000,291000000
Associazione Sportiva Roma,Cagliari Calcio,2025-03-16,186000000,38100000
Atalanta Bergamasca Calcio S.p.a.,Football Club Internazionale Milano S.p.A.,2025-03-16,256000000,464000000
Venezia FC,Società Sportiva Calcio Napoli,2025-03-16,29000000,220500000
AC Monza,Parma Calcio 1913,2025-03-15,37600000,76500000
Torino Calcio,FC Empoli,2025-03-15,109000000,33500000
Associazione Calcio Milan,Calcio Como,2025-03-15,376000000,75700000
Udinese Calcio,Verona Hellas Football Club,2025-03-15,79000000,43600000
Genoa Cricket and Football Club,Unione Sportiva Lecce,2025-03-14,87400000,32800000
Società Sportiva Lazio S.p.A.,Udinese Calcio,2025-03-10,156500000,83500000
Verona Hellas Football Club,Bologna Football Club 1909,2025-03-09,48500000,161000000
Società Sportiva Calcio Napoli,Associazione Calcio Fiorentina,2025-03-09,220500000,148500000
FC Empoli,Associazione Sportiva Roma,2025-03-09,33000000,136500000
Juventus Football Club,Atalanta Bergamasca Calcio S.p.a.,2025-03-09,315000000,244000000
Football Club Internazionale Milano S.p.A.,AC Monza,2025-03-08,385500000,37600000
Parma Calcio 1913,Torino Calcio,2025-03-08,67500000,108500000
Unione Sportiva Lecce,Associazione Calcio Milan,2025-03-08,32800000,272500000
Calcio Como,Venezia FC,2025-03-08,75400000,34300000
Cagliari Calcio,Genoa Cricket and Football Club,2025-03-07,34400000,79600000
Juventus Football Club,Verona Hellas Football Club,2025-03-03,315000000,43300000
Genoa Cricket and Football Club,FC Empoli,2025-03-02,86900000,36000000
AC Monza,Torino Calcio,2025-03-02,35600000,108500000
Associazione Sportiva Roma,Calcio Como,2025-03-02,149000000,77700000
Bologna Football Club 1909,Cagliari Calcio,2025-03-02,110500000,42300000
Associazione Calcio Milan,Società Sportiva Lazio S.p.A.,2025-03-02,391000000,192000000
Atalanta Bergamasca Calcio S.p.a.,Venezia FC,2025-03-01,240000000,36800000
Udinese Calcio,Parma Calcio 1913,2025-03-01,72650000,81000000
Società Sportiva Calcio Napoli,Football Club Internazionale Milano S.p.A.,2025-03-01,220500000,500000000
Associazione Calcio Fiorentina,Unione Sportiva Lecce,2025-02-28,112500000,36400000
Bologna Football Club 1909,Associazione Calcio Milan,2025-02-27,140400000,371000000
Associazione Sportiva Roma,AC Monza,2025-02-24,144500000,41200000
FC Empoli,Atalanta Bergamasca Calcio S.p.a.,2025-02-23,37700000,224000000
Calcio Como,Società Sportiva Calcio Napoli,2025-02-23,77700000,218500000
Cagliari Calcio,Juventus Football Club,2025-02-23,35400000,361000000
Verona Hellas Football Club,Associazione Calcio Fiorentina,2025-02-23,43300000,144000000
Football Club Internazionale Milano S.p.A.,Genoa Cricket and Football Club,2025-02-22,416000000,79400000
Torino Calcio,Associazione Calcio Milan,2025-02-22,99000000,391000000
Venezia FC,Società Sportiva Lazio S.p.A.,2025-02-22,30300000,174000000
Parma Calcio 1913,Bologna Football Club 1909,2025-02-22,79500000,138000000
Unione Sportiva Lecce,Udinese Calcio,2025-02-21,33600000,77000000
Genoa Cricket and Football Club,Venezia FC,2025-02-17,93900000,31600000
Juventus Football Club,Football Club Internazionale Milano S.p.A.,2025-02-16,294000000,435000000
AC Monza,Unione Sportiva Lecce,2025-02-16,42100000,32700000
Parma Calcio 1913,Associazione Sportiva Roma,2025-02-16,96500000,144000000
Associazione Calcio Fiorentina,Calcio Como,2025-02-16,132000000,82200000
Udinese Calcio,FC Empoli,2025-02-16,74500000,36700000
Associazione Calcio Milan,Verona Hellas Football Club,2025-02-15,310000000,46800000
Atalanta Bergamasca Calcio S.p.a.,Cagliari Calcio,2025-02-15,164500000,35400000
Società Sportiva Lazio S.p.A.,Società Sportiva Calcio Napoli,2025-02-15,196000000,223500000
Bologna Football Club 1909,Torino Calcio,2025-02-14,138000000,77800000
Football Club Internazionale Milano S.p.A.,Associazione Calcio Fiorentina,2025-02-10,448000000,131000000
Cagliari Calcio,Parma Calcio 1913,2025-02-09,34600000,62000000
Società Sportiva Lazio S.p.A.,AC Monza,2025-02-09,210000000,34900000
Venezia FC,Associazione Sportiva Roma,2025-02-09,32300000,145000000
Società Sportiva Calcio Napoli,Udinese Calcio,2025-02-09,201500000,76000000
Unione Sportiva Lecce,Bologna Football Club 1909,2025-02-09,35800000,114400000
Torino Calcio,Genoa Cricket and Football Club,2025-02-08,95800000,90100000
Verona Hellas Football Club,Atalanta Bergamasca Calcio S.p.a.,2025-02-08,44600000,206000000
FC Empoli,Associazione Calcio Milan,2025-02-08,33500000,291000000
Calcio Como,Juventus Football Club,2025-02-07,74200000,296000000
Associazione Calcio Fiorentina,Football Club Internazionale Milano S.p.A.,2025-02-06,159000000,496000000
Cagliari Calcio,Società Sportiva Lazio S.p.A.,2025-02-03,34600000,187000000
Associazione Sportiva Roma,Società Sportiva Calcio Napoli,2025-02-02,158000000,201000000
Juventus Football Club,FC Empoli,2025-02-02,296000000,36700000
Associazione Calcio Fiorentina,Genoa Cricket and Football Club,2025-02-02,157000000,88900000
Associazione Calcio Milan,Football Club Internazionale Milano S.p.A.,2025-02-02,365000000,506000000
Udinese Calcio,Venezia FC,2025-02-01,79000000,35900000
Bologna Football Club 1909,Calcio Como,2025-02-01,105400000,87200000
Atalanta Bergamasca Calcio S.p.a.,Torino Calcio,2025-02-01,229000000,95300000
AC Monza,Verona Hellas Football Club,2025-02-01,43100000,54600000
Parma Calcio 1913,Unione Sportiva Lecce,2025-01-31,46300000,38200000
Venezia FC,Verona Hellas Football Club,2025-01-27,38700000,60100000
Genoa Cricket and Football Club,AC Monza,2025-01-27,81900000,40600000
Unione Sportiva Lecce,Football Club Internazionale Milano S.p.A.,2025-01-26,47200000,362000000
Udinese Calcio,Associazione Sportiva Roma,2025-01-26,77300000,178000000
Società Sportiva Lazio S.p.A.,Associazione Calcio Fiorentina,2025-01-26,169500000,163000000
Associazione Calcio Milan,Parma Calcio 1913,2025-01-26,369500000,54000000
Calcio Como,Atalanta Bergamasca Calcio S.p.a.,2025-01-25,77300000,257000000
Società Sportiva Calcio Napoli,Juventus Football Club,2025-01-25,201000000,356000000
FC Empoli,Bologna Football Club 1909,2025-01-25,51700000,112000000
Torino Calcio,Cagliari Calcio,2025-01-24,95300000,40100000
Calcio Como,Udinese Calcio,2025-01-20,65700000,59800000
Associazione Calcio Fiorentina,Torino Calcio,2025-01-19,166000000,91100000
Verona Hellas Football Club,Società Sportiva Lazio S.p.A.,2025-01-19,52600000,200000000
Football Club Internazionale Milano S.p.A.,FC Empoli,2025-01-19,377000000,42300000
Parma Calcio 1913,Venezia FC,2025-01-19,49000000,31800000
Cagliari Calcio,Unione Sportiva Lecce,2025-01-19,35800000,47200000
Bologna Football Club 1909,AC Monza,2025-01-18,144500000,41300000
Atalanta Bergamasca Calcio S.p.a.,Società Sportiva Calcio Napoli,2025-01-18,312000000,216500000
Juventus Football Club,Associazione Calcio Milan,2025-01-18,334000000,352000000
Associazione Sportiva Roma,Genoa Cricket and Football Club,2025-01-17,163500000,87900000
Football Club Internazionale Milano S.p.A.,Bologna Football Club 1909,2025-01-15,461000000,124000000
Calcio Como,Associazione Calcio Milan,2025-01-14,57700000,373000000
Atalanta Bergamasca Calcio S.p.a.,Juventus Football Club,2025-01-14,272000000,340000000
AC Monza,Associazione Calcio Fiorentina,2025-01-13,44800000,166000000
Genoa Cricket and Football Club,Parma Calcio 1913,2025-01-12,88100000,64500000
Bologna Football Club 1909,Associazione Sportiva Roma,2025-01-12,139000000,163500000
Società Sportiva Calcio Napoli,Verona Hellas Football Club,2025-01-12,201000000,50000000
Venezia FC,Football Club Internazionale Milano S.p.A.,2025-01-12,36000000,356000000
FC Empoli,Unione Sportiva Lecce,2025-01-11,44450000,47200000
Udinese Calcio,Atalanta Bergamasca Calcio S.p.a.,2025-01-11,61000000,274000000
Associazione Calcio Milan,Cagliari Calcio,2025-01-11,374500000,33500000
Torino Calcio,Juventus Football Club,2025-01-11,93800000,325000000
Società Sportiva Lazio S.p.A.,Calcio Como,2025-01-10,140500000,69300000
AC Monza,Cagliari Calcio,2025-01-05,37600000,31800000
Torino Calcio,Parma Calcio 1913,2025-01-05,108300000,39500000
Unione Sportiva Lecce,Genoa Cricket and Football Club,2025-01-05,51100000,95100000
Associazione Sportiva Roma,Società Sportiva Lazio S.p.A.,2025-01-05,163500000,201000000
Verona Hellas Football Club,Udinese Calcio,2025-01-04,52600000,77000000
Venezia FC,FC Empoli,2025-01-04,36700000,48800000
Associazione Calcio Fiorentina,Società Sportiva Calcio Napoli,2025-01-04,140000000,209000000
Bologna Football Club 1909,Verona Hellas Football Club,2024-12-30,128000000,50100000
Calcio Como,Unione Sportiva Lecce,2024-12-30,60100000,51100000
Associazione Calcio Milan,Associazione Sportiva Roma,2024-12-29,259500000,161500000
Udinese Calcio,Torino Calcio,2024-12-29,76000000,95300000
Società Sportiva Calcio Napoli,Venezia FC,2024-12-29,291500000,34700000
Juventus Football Club,Associazione Calcio Fiorentina,2024-12-29,324000000,158000000
FC Empoli,Genoa Cricket and Football Club,2024-12-28,43200000,81600000
Società Sportiva Lazio S.p.A.,Atalanta Bergamasca Calcio S.p.a.,2024-12-28,196000000,259000000
Parma Calcio 1913,AC Monza,2024-12-28,58000000,46800000
Cagliari Calcio,Football Club Internazionale Milano S.p.A.,2024-12-28,36300000,496000000
